                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5667,                  2.906,                  1.643,                0.13098,                0.29053,                0.08812,                0.04065,                 1.6838,                 11.207,                 2.2892,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.6124,                 1.8065,                 1.6814,                0.12682,                0.39895,                0.14198,                0.05514,                 2.3701,                 19.607,                  2.708,              0.0012704,              0.0012704,              0.0012704
                      3,                 1.7099,                 1.8162,                 1.7445,                0.10693,                0.19789,                0.07346,                0.02636,                   2.53,                 4.4866,                 2.8031,              0.0018319,              0.0018319,              0.0018319
                      4,                 1.6504,                 1.7472,                 1.7019,                0.54135,                0.45474,                0.48547,                0.22116,                 1.8623,                 3.8107,                 2.2194,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.6644,                 1.6863,                 1.6659,                0.46149,                0.53579,                0.43776,                0.23541,                 1.5686,                 2.8201,                 1.7608,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.5684,                 1.5912,                 1.6196,                0.51457,                0.52526,                0.50535,                0.27099,                 1.5464,                  2.477,                 1.7468,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.4919,                 1.5232,                 1.5877,                0.62558,                0.64421,                0.61935,                0.31203,                 1.5183,                 1.6855,                  1.675,               0.001604,               0.001604,               0.001604
                      8,                 1.4596,                 1.4685,                 1.5588,                 0.7307,                   0.68,                0.74904,                0.45734,                 1.3289,                  1.404,                 1.4934,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.4365,                 1.3684,                 1.5215,                0.63437,                0.61365,                0.60519,                0.38592,                 1.2817,                 1.5995,                 1.5156,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.4064,                   1.43,                 1.5347,                0.68127,                0.64105,                0.70813,                0.42032,                 1.3139,                 1.3546,                 1.5125,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.3542,                 1.3261,                 1.4871,                0.75645,                0.66421,                0.75204,                0.46548,                 1.2691,                 1.2845,                 1.4768,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.3791,                 1.3311,                 1.4808,                 0.7265,                0.62526,                0.69684,                0.41677,                 1.4088,                 1.4383,                  1.569,               0.001208,               0.001208,               0.001208
                     13,                 1.3295,                 1.2598,                 1.4766,                 0.7748,                0.66632,                0.76333,                0.49121,                 1.2497,                 1.3172,                 1.4536,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.2565,                 1.1974,                 1.4059,                0.74456,                0.68632,                0.77644,                 0.4799,                    1.3,                 1.2864,                 1.4821,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.2547,                 1.1784,                 1.4061,                0.75245,                0.71988,                0.79442,                0.51594,                 1.2263,                 1.1498,                 1.4502,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.2303,                 1.0957,                 1.4161,                0.79905,                0.68646,                0.80507,                0.52575,                 1.1995,                 1.1229,                 1.4372,              0.0008912,              0.0008912,              0.0008912
                     17,                   1.18,                 1.0402,                 1.3867,                0.71229,                0.69895,                0.78117,                0.51736,                 1.1126,                 1.2931,                 1.3531,               0.000812,               0.000812,               0.000812
                     18,                 1.1384,                0.97333,                 1.3593,                0.80615,                0.73158,                0.83191,                0.53828,                 1.1655,                 1.0259,                 1.4057,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.1344,                0.93565,                 1.3538,                 0.8018,                0.76651,                0.83335,                0.57244,                 1.1109,                 1.0296,                 1.3534,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.1031,                0.91066,                 1.3278,                0.78236,                0.77572,                0.84283,                0.57144,                 1.0872,                 1.0143,                 1.3559,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.0796,                0.88982,                 1.3007,                0.73183,                    0.8,                0.83785,                0.57093,                 1.0796,                 1.0452,                 1.3508,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.0433,                0.83304,                 1.2877,                0.85736,                0.77191,                   0.88,                0.60187,                 1.0964,                 0.9035,                 1.3624,               0.000416,               0.000416,               0.000416
                     23,                 1.0129,                0.79594,                 1.2814,                0.82111,                0.74737,                0.83368,                0.56005,                 1.0954,                 1.0219,                 1.3727,              0.0003368,              0.0003368,              0.0003368
                     24,                0.98665,                0.76375,                 1.2292,                0.84956,                0.75491,                0.85542,                0.59881,                 1.0379,                0.97736,                 1.3237,              0.0002576,              0.0002576,              0.0002576
                     25,                0.97353,                0.74711,                 1.2275,                0.81338,                0.72488,                0.83548,                0.58916,                 1.0349,                 1.0455,                 1.3102,              0.0001784,              0.0001784,              0.0001784
